from_date;to_date;chapter;ledger_account;characteristic;balance_in_rub;r_balance_in_rub;balance_in_val;r_balance_in_val;balance_in_total;r_balance_in_total;turn_deb_rub;r_turn_deb_rub;turn_deb_val;r_turn_deb_val;turn_deb_total;r_turn_deb_total;turn_cre_rub;r_turn_cre_rub;turn_cre_val;r_turn_cre_val;turn_cre_total;r_turn_cre_total;balance_out_rub;r_balance_out_rub;balance_out_val;r_balance_out_val;balance_out_total;r_balance_out_total
2018-01-01;2018-01-31;А;30102;А;200079650.12000000;;0.00000000;;200079650.12000000;;625440427.12000000;;0.00000000;;625440427.12000000;;787848410.30000000;;0.00000000;;787848410.30000000;;37671666.94000000;;0.00000000;;37671666.94000000;
2018-01-01;2018-01-31;А;30109;П;63891.96000000;;0.00000000;;63891.96000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;63891.96000000;;0.00000000;;63891.96000000;
2018-01-01;2018-01-31;А;30110;А;1347893.83000000;;15170860.89437800;;16518754.72437800;;373332.34000000;;0.00000000;;373332.34000000;;1083668.65000000;;0.00000000;;1083668.65000000;;637557.52000000;;15170860.89437800;;15808418.41437800;
2018-01-01;2018-01-31;А;30111;П;125006707.42000000;;0.00000000;;125006707.42000000;;262884223.89000000;;0.00000000;;262884223.89000000;;172294943.56000000;;0.00000000;;172294943.56000000;;34417427.09000000;;0.00000000;;34417427.09000000;
2018-01-01;2018-01-31;А;30114;А;0.00000000;;1460552792.87861871;;1460552792.87861871;;0.00000000;;1464972651.18680107;;1464972651.18680107;;0.00000000;;2199251369.68591323;;2199251369.68591323;;0.00000000;;726274074.37950655;;726274074.37950655;
2018-01-01;2018-01-31;А;30126;П;67224.06000000;;0.00000000;;67224.06000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;67224.06000000;;0.00000000;;67224.06000000;
2018-01-01;2018-01-31;А;30202;А;129554.00000000;;0.00000000;;129554.00000000;;0.00000000;;0.00000000;;0.00000000;;93819.58000000;;0.00000000;;93819.58000000;;35734.42000000;;0.00000000;;35734.42000000;
2018-01-01;2018-01-31;А;30204;А;5541.83000000;;0.00000000;;5541.83000000;;149647.04000000;;0.00000000;;149647.04000000;;0.00000000;;0.00000000;;0.00000000;;155188.87000000;;0.00000000;;155188.87000000;
2018-01-01;2018-01-31;А;30220;П;0.00000000;;1429793492.98439384;;1429793492.98439384;;0.00000000;;251131748.61893800;;251131748.61893800;;0.00000000;;162558540.25700800;;162558540.25700800;;0.00000000;;1341220284.62246384;;1341220284.62246384;
2018-01-01;2018-01-31;А;30221;А;69885.07000000;;21447412.80254200;;21517297.87254200;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;69885.07000000;;21447412.80254200;;21517297.87254200;
2018-01-01;2018-01-31;А;30222;П;215769.47000000;;43368305.32796000;;43584074.79796000;;0.00000000;;5595511.51749600;;5595511.51749600;;0.00000000;;0.00000000;;0.00000000;;215769.47000000;;37772793.81046400;;37988563.28046400;
2018-01-01;2018-01-31;А;30223;П;302098.75000000;;0.00000000;;302098.75000000;;6349676.77000000;;0.00000000;;6349676.77000000;;15781776.55000000;;0.00000000;;15781776.55000000;;9734198.53000000;;0.00000000;;9734198.53000000;
2018-01-01;2018-01-31;А;30232;П;86904.66000000;;4517213.06846400;;4604117.72846400;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;86904.66000000;;4517213.06846400;;4604117.72846400;
2018-01-01;2018-01-31;А;30233;А;58966.57000000;;5801448.04154400;;5860414.61154400;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;58966.57000000;;5801448.04154400;;5860414.61154400;
2018-01-01;2018-01-31;А;30236;П;39070.65000000;;7152603.18193500;;7191673.83193500;;0.00000000;;134845152.11511300;;134845152.11511300;;0.00000000;;249074167.07623700;;249074167.07623700;;39070.65000000;;121381618.14305900;;121420688.79305900;
2018-01-01;2018-01-31;А;30413;А;185530.94000000;;0.00000000;;185530.94000000;;2098780.35000000;;0.00000000;;2098780.35000000;;2382487.14000000;;0.00000000;;2382487.14000000;;-98175.85000000;;0.00000000;;-98175.85000000;
2018-01-01;2018-01-31;А;30424;А;7855306.53000000;;0.00000000;;7855306.53000000;;4414156.66000000;;0.00000000;;4414156.66000000;;9299232.48000000;;0.00000000;;9299232.48000000;;2970230.71000000;;0.00000000;;2970230.71000000;
2018-01-01;2018-01-31;А;30425;А;87620.47000000;;2207131.95162600;;2294752.42162600;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;0.00000000;;87620.47000000;;2207131.95162600;;2294752.42162600;
